FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3200,Fleet Administration,0,,1 00,9,9679,Deputy Commissioner,Annual,1,1,$127488.00,$127488.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3201,Equipment Project Management,0,,GY 08,10,6085,Senior Automotive Equipment Analyst,Annual,1,1,$92088.00,$92088.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3201,Equipment Project Management,0,,GY 08,10,6085,Senior Automotive Equipment Analyst,Annual,1,1,$73212.00,$73212.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3201,Equipment Project Management,0,,GY 11,20,6080,Manager - Fleet Services and Automotive Procurement,Annual,1,1,$115932.00,$115932.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3201,Equipment Project Management,0,,B 12,1,1240,Vehicle Registration Coordinator,Annual,1,1,$46188.00,$46188.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3201,Equipment Project Management,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,$73440.00,$73440.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3201,Equipment Project Management,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$272.00,$272.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3214,Fuel Services,0,,BX 18,10,7181,Manager of Fleet Services,Annual,1,1,$97740.00,$97740.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3214,Fuel Services,0,,2 0,8,7165,Garage Attendant - Assigned-In-Charge,Hourly,3,1,$24.63,$153691.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3214,Fuel Services,0,,2 0,8,7164,Garage Attendant,Hourly,37,1,$23.31,$1793938.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3214,Fuel Services,0,,B 10,1,831,Personal Computer Operator III,Annual,1,1,$38376.00,$38376.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3214,Fuel Services,0,,B 06,1,443,Clerk II - Hourly,Annual,1,1,$29064.00,$29064.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3214,Fuel Services,0,,B 10,1,431,Clerk IV,Annual,1,1,$38376.00,$38376.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3214,Fuel Services,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,$19476.00,$19476.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,B 13,4,7173,Accident Adjuster,Annual,2,1,$84420.00,$168840.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,B 13,4,7173,Accident Adjuster,Annual,1,1,$80568.00,$80568.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,B 13,4,7173,Accident Adjuster,Annual,2,1,$50676.00,$101352.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,BX 17,10,7172,Manager of Vehicle Adjustments,Annual,2,1,$97740.00,$195480.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,B 12,1,7105,Warranty Clerk,Annual,1,1,$54984.00,$54984.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,$107220.00,$107220.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,B 13,1,308,Staff Assistant,Annual,1,1,$50676.00,$50676.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,$70092.00,$70092.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,$70092.00,$70092.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3216,Accidents and Assessments,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$1620.00,$1620.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,54,9534,Laborer,Hourly,8,1,$40.20,$668928.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,53,9531,Shop Laborer,Hourly,2,1,$40.20,$167232.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,42,7638,Hoisting Engineer - Mechanic,Hourly,5,1,$52.10,$541840.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,42,7634,Foreman of Hoisting Engineer - Mechanics,Hourly,1,1,$53.10,$110448.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,8,7186,Motor Truck Driver - Tire Repair,Hourly,8,1,$36.13,$601203.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,8,7185,Foreman of Motor Truck Drivers,Hourly,1,1,$37.56,$78125.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,8,7183,Motor Truck Driver,Hourly,17,1,$35.60,$1258816.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,8,7165,Garage Attendant - Assigned-In-Charge,Hourly,1,1,$24.63,$51230.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,8,7164,Garage Attendant,Hourly,16,1,$23.31,$775757.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,BX 13,10,7137,Supervising Servicewriter,Annual,1,1,$47532.00,$47532.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,P 12,8,7136,Servicewriter,Annual,2,1,$73416.00,$146832.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,P 12,8,7136,Servicewriter,Annual,2,1,$70056.00,$140112.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,P 12,8,7136,Servicewriter,Annual,1,1,$66900.00,$66900.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,P 12,8,7136,Servicewriter,Annual,3,1,$63828.00,$191484.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,P 12,8,7136,Servicewriter,Annual,1,1,$60372.00,$60372.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,P 12,8,7136,Servicewriter,Annual,1,1,$54972.00,$54972.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,BX 19,10,7133,Director of Maintenance Operations,Annual,1,1,$117660.00,$117660.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,BX 19,10,7133,Director of Maintenance Operations,Annual,2,1,$107220.00,$214440.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,8,7124,Equipment Dispatcher,Hourly,1,1,$36.22,$75338.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,P 17,8,7110,Equipment Services Coordinator,Annual,1,1,$79704.00,$79704.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,3,1,$107220.00,$321660.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,$102348.00,$102348.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,$93300.00,$93300.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,2,1,$73212.00,$146424.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,36,6679,Foreman of Machinists - Automotive,Hourly,12,1,$48.85,$1219296.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,36,6675,Helicopter Mechanic,Hourly,1,1,$46.35,$96408.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,36,6674,Machinist,Hourly,3,1,$46.35,$289224.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,36,6673,Machinist - Automotive,Hourly,74,1,$46.35,$7134192.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,24,6607,Foreman of Blacksmiths,Hourly,1,1,$49.52,$103002.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,24,6605,Blacksmith,Hourly,19,1,$45.43,$1795394.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,32,5045,Foreman of Electrical Mechanics (Auto),Hourly,2,1,$49.10,$204256.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,32,5034,Electrical Mechanic - Automotive,Hourly,26,1,$46.10,$2493088.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,32,5032,Electrical Mechanic (Auto) - Police Motor Maintenance,Hourly,2,1,$46.10,$191776.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,41,4856,Foreman of Sheet Metal Workers,Hourly,1,1,$46.47,$96658.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,41,4855,Sheet Metal Worker,Hourly,4,1,$43.03,$358010.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,39,4636,Foreman of Painters,Hourly,1,1,$50.12,$104250.00
Local,60,COPA,100,CORPORATE FUND,1005,COPA,2005,COPA,3010,Investigations,0,,GY 07,20,1125,Performance Analyst,Annual,2,1,$62448.00,$124896.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,39,4605,Automotive Painter,Hourly,5,1,$44.55,$463320.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,2 0,50,4301,Carpenter,Hourly,2,1,$45.35,$188656.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$6992.00,$6992.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3219,Fleet Maintenance Operations,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,$163641.00,$163641.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3220,Road Services,0,,2 0,8,7186,Motor Truck Driver - Tire Repair,Hourly,2,1,$36.13,$150301.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3220,Road Services,0,,2 0,8,7127,Equipment Dispatcher - in Charge,Hourly,2,1,$37.47,$155875.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3220,Road Services,0,,2 0,8,7124,Equipment Dispatcher,Hourly,8,1,$36.22,$602701.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3220,Road Services,0,,2 0,36,6673,Machinist - Automotive,Hourly,9,1,$46.35,$867672.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3220,Road Services,0,,3 00,0,6575,General Shop Foreman,Annual,1,1,$94116.00,$94116.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3220,Road Services,0,,2 0,32,5034,Electrical Mechanic - Automotive,Hourly,6,1,$46.10,$575328.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3220,Road Services,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,$20101.00,$20101.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,8,7183,Motor Truck Driver,Hourly,1,1,$35.60,$74048.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,8,7165,Garage Attendant - Assigned-In-Charge,Hourly,4,1,$24.63,$204922.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,8,7164,Garage Attendant,Hourly,21,1,$23.31,$1018181.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,R 12,36,7139,Service Writer - Police Motor Maintenance,Annual,4,1,$80532.00,$322128.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,R 12,36,7139,Service Writer - Police Motor Maintenance,Annual,4,1,$73416.00,$293664.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,R 12,36,7139,Service Writer - Police Motor Maintenance,Annual,1,1,$70056.00,$70056.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,R 12,36,7139,Service Writer - Police Motor Maintenance,Annual,4,1,$66900.00,$267600.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,R 12,36,7139,Service Writer - Police Motor Maintenance,Annual,1,1,$52536.00,$52536.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,R 12,36,7139,Service Writer - Police Motor Maintenance,Annual,1,1,$50100.00,$50100.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,BX 19,10,7133,Director of Maintenance Operations,Annual,1,1,$117660.00,$117660.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,$107220.00,$107220.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,$93300.00,$93300.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,$76716.00,$76716.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,36,6679,Foreman of Machinists - Automotive,Hourly,6,1,$48.85,$609648.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,36,6674,Machinist,Hourly,2,1,$46.35,$192816.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,36,6673,Machinist - Automotive,Hourly,28,1,$46.35,$2699424.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,32,5045,Foreman of Electrical Mechanics (Auto),Hourly,4,1,$49.10,$408512.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,32,5034,Electrical Mechanic - Automotive,Hourly,11,1,$46.10,$1054768.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,2 0,32,5032,Electrical Mechanic (Auto) - Police Motor Maintenance,Hourly,24,1,$46.10,$2301312.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,B 12,1,1240,Vehicle Registration Coordinator,Annual,1,1,$50124.00,$50124.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,$5052.00,$5052.00
Local,38,FLEET AND FACILITY MANAGEMENT,100,CORPORATE FUND,1005,Fleet & Facility Management,2140,FLEET OPERATIONS,3226,CPD Motor Maintenance,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,$74149.00,$74149.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,1 00,69,9614,Deputy Chief Administrative Officer,Annual,1,1,$125352.00,$125352.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,1 00,69,9352,Assistant Executive Director - Board Of Elections,Annual,1,1,$133740.00,$133740.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 13,69,9351,Admin Assistant To The Commissioners,Annual,1,1,$64596.00,$64596.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,3 00,69,9346,Contracts Coordinator - Board of Elections,Annual,1,1,$104916.00,$104916.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 10,69,9328,Senior Clerk - Board of Elections,Annual,1,1,$45720.00,$45720.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,$67872.00,$67872.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,$54348.00,$54348.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 12,69,9327,Principal Clerk - Board of Elections,Annual,1,1,$45720.00,$45720.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,$42456.00,$42456.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,$37536.00,$37536.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,2,1,$29328.00,$58656.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 08,69,9308,Clerk - Board of Elections,Annual,1,1,$28608.00,$28608.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,Z 15,69,305,Assistant to the Executive Director,Annual,2,1,$70488.00,$140976.00
Local,39,BOARD OF ELECTION COMMISSIONER,100,CORPORATE FUND,1005,BOARD OF ELECTION COMMISSIONER,2005,ELECTION AND ADMIN DIVISION,3005,Administration,0,,3 00,10,123,Fiscal Administrator,Annual,1,1,$104916.00,$104916.00
