Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount
28093,31,108359,CONSTRUCTION-LARGE $3MILLIONorABOVE,6/8/16,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,$10.00 
40880,0,223496,COMPTROLLER-OTHER,6/6/16,DEPT OF COMMUNITY DEVELOPMENT,FAR SOUTH CDC,91759446E,11509 S ELIZABETH ST,CHICAGO,IL,60643,$25.00 
34422,0,151530,EXHIBIT-A,1/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,HINCKLEY SPRINGS WATER CO.,31361513X,PO BOX 1888,BEDFORD PARK,IL,60499-1888,$41.00 
34338,0,150078,EXHIBIT-A,1/5/16,INDEPENDENT POLICE REVIEW AUTHORITY,COMCAST OF CHICAGO INC,23407669P,1255 W NORTH AVE # 18614,CHICAGO,IL,60622,$46.40 
21773,74,83210,PROPERTY LEASE,7/6/16,,DEPAUL UNIVERSITY,93965499T,ATTN: DIRECTOR OF RESTRICTED ACCOUNTING,CHICAGO,IL,60604,$56.00 
34377,0,150251,EXHIBIT-A,1/7/16,FIRE DEPARTMENT,COMCAST OF CHICAGO INC,23407669P,1255 W NORTH AVE # 18614,CHICAGO,IL,60622,$62.60 
34367,0,151143,EXHIBIT-A,1/7/16,DEPARTMENT OF HEALTH,COMED EXELON ENERGY DELIVERY,93428796T,THREE LINCOLN CENTER 6TH FL,OAK BROOK,IL,60521,$65.20 
2590,1,12146,DEMOLITION-SMALL ORDERS,1/10/17,DEPARTMENT OF BUILDINGS,PAIGE ENTERPRISES,22048664X,6972 W NORTH AVE,CHICAGO,IL,60707-4414,$72.70 
25980,79,96183,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/10/17,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,$72.70 
34366,0,151174,EXHIBIT-A,1/7/16,DEPARTMENT OF HEALTH,AT&T CORP,87451913H,PO BOX 5000,CAROL STREAM,IL,60197-5000,$77.00 
34318,0,149898,EXHIBIT-A,1/5/16,FIRE DEPARTMENT,LEXIS-NEXIS,22781870L,PO BOX 2314,CAROL STREAM,IL,60132-2314,$84.00 
34339,0,148964,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,C.M. FASAN-FLORIST INC,6544932P,1600 W 35TH ST FL 1ST,CHICAGO,IL,60609,$126.00 
34310,0,149008,EXHIBIT-A,1/4/16,DEPARTMENT OF CULTURAL AFFAIRS,"BEST IMAGING SOLUTIONS, INC.",15136977L,20 E RANDOLPH STREET MEZZANINE,CHICAGO,IL,60601,$130.00 
21773,75,83210,PROPERTY LEASE,7/6/16,,DEPAUL UNIVERSITY,93965499T,ATTN: DIRECTOR OF RESTRICTED ACCOUNTING,CHICAGO,IL,60604,$131.40 
34309,0,149005,EXHIBIT-A,1/4/16,DEPARTMENT OF CULTURAL AFFAIRS,ICON GROUP INC 01,93428400Z,2747 W TAYLOR ST,CHICAGO,IL,60612,$132.00 
34424,0,151882,EXHIBIT-A,1/11/16,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,POSTMASTER/ COMMERCIAL ACCTS,31375823E,FIELD DIV GENERAL MGR,CHICAGO,IL,60607-9998,$136.00 
34423,0,151667,EXHIBIT-A,1/11/16,DEPARTMENT OF FINANCE,FEDEX,85240041M,PO BOX 371461,PITTSBURGH,PA,15250-7461,$137.10 
34350,0,146864,EXHIBIT-A,1/6/16,OFFICE FOR PEOPLE WITH DISABILITIES,RUSH UNIVERSITY MEDICAL CENTER,99782637E,1725 W HARRISON ST,CHICAGO,IL,60612,$137.90 
34299,0,148451,EXHIBIT-A,1/4/16,DEPARTMENT OF CULTURAL AFFAIRS,AARON AMOSSON,57257474,3725 LYNDALE AVE SOUTH,MINNEAPOLIS,MN,55409,$150.00 
34323,0,149687,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,WALTER KITUNDU,57253442,6433 N NEWGARD AVE #2N,CHICAGO,IL,60626,$150.00 
34334,0,149648,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,OLIVIA BLOCK,57253440,4811 N HOYNE,CHICAGO,IL,60625,$150.00 
34343,0,150369,EXHIBIT-A,1/5/16,OFFICE OF THE MAYOR,ICE MOUNTAIN SPRING WATER,31362156E,PROCESSING CENTER,PHOENIX,AZ,85072-2214,$154.70 
34347,0,150415,EXHIBIT-A,1/6/16,DEPT OF GENERAL SERVICES,NICOR GAS,31373469V,PO BOX 416,AURORA,IL,60568-0001,$175.70 
34392,0,151059,EXHIBIT-A,1/8/16,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,FRATERNAL ORDER OF POLICE,22476601M,POLICE,CHICAGO,IL,60661,$210.00 
32201,28,128567,CONSTRUCTION-AVIATION,3/4/16,DEPT OF AVIATION,"OAKLEY CONSTRUCTION CO., INC.",15149245V,7815-7819 S CLAREMONT AVE,CHICAGO,IL,60620,$243.10 
34409,0,151567,EXHIBIT-A,1/11/16,DEPT OF PROCUREMENT SERVICES,AMY OLSON DESIGN GROUP LLC,57270428,1938 ROBINCREST LANE,GLENVIEW,IL,60025,$250.00 
34410,0,151283,EXHIBIT-A,1/11/16,DEPT OF PROCUREMENT SERVICES,STR PARTNERS LTD,1043193,"350 W. ONTARIO ST., STE. 200",CHICAGO,IL,60610,$250.00 
21773,84,83210,PROPERTY LEASE,10/4/16,,DEPAUL UNIVERSITY,93965499T,ATTN: DIRECTOR OF RESTRICTED ACCOUNTING,CHICAGO,IL,60604,$275.30 
21773,76,83210,PROPERTY LEASE,7/6/16,,DEPAUL UNIVERSITY,93965499T,ATTN: DIRECTOR OF RESTRICTED ACCOUNTING,CHICAGO,IL,60604,$283.00 
21773,82,83210,PROPERTY LEASE,10/4/16,,DEPAUL UNIVERSITY,93965499T,ATTN: DIRECTOR OF RESTRICTED ACCOUNTING,CHICAGO,IL,60604,$318.10 
34295,0,148350,EXHIBIT-A,1/4/16,DEPARTMENT OF CULTURAL AFFAIRS,"BEST IMAGING SOLUTIONS, INC.",15136977L,20 E RANDOLPH STREET MEZZANINE,CHICAGO,IL,60601,$339.00 
34370,0,151056,EXHIBIT-A,1/7/16,DEPARTMENT OF HEALTH,AT&T CORP,87451913H,PO BOX 5000,CAROL STREAM,IL,60197-5000,$416.00 
33028,5,126748,CONSTRUCTION-GENERAL,2/1/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,$567.20 
34379,0,150358,EXHIBIT-A,1/7/16,DEPARTMENT OF HEALTH,CHERYL POTTS,56896551,839 S HIGHLAND AV,OAK PARK,IL,60304,$587.20 
34372,0,150935,EXHIBIT-A,1/7/16,DEPT OF GENERAL SERVICES,"CUMMINS N POWER, LLC",31286167E,NW 7686,MINNEAPOLIS,MN,55485-7686,$600.00 
44245,0,260995,COMPTROLLER-OTHER,8/3/16,DEPARTMENT OF CULTURAL AFFAIRS,YUNUEN OSEGUERA PARDO,10191880,515 NORTH MAY STREET,CHICAGO,IL,60642,$638.00 
38618,0,151502,COMMODITIES-SMALL ORDERS,6/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,ENTENMANN-ROVIN CO,31342567X,2425 S GARFIELD AVE,LOS ANGELES,CA,90040-1811,$669.80 
33827,3,119083,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/1/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,$688.80 
21821,2,83671,COMPTROLLER-OTHER,3/2/16,OHARE MODERNIZATION PROJECT,FEDERAL AVIATION ADMINISTRATION,1004390,CENTRAL REGION ACE-20 FAA,KANSAS CITY,MO,64106,$700.00 
32353,28,123883,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/7/16,CHICAGO DEPARTMENT OF TRANSPORTATION,R.W. DUNTEMAN CO.,31376754P,PO BOX 1129,ADDISON,IL,60101,$704.10 
35760,1,120967,CONSTRUCTION-LARGE $3MILLIONorABOVE,7/11/16,DEPARTMENT OF WATER MANAGEMENT,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,$750.00 
32644,6,129423,CONSTRUCTION-AVIATION,5/4/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,$775.50 
31335,1,129408,DELEGATE AGENCY,3/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,"CHINESE AMERICAN SERVICE LEAGUE, INC.",30779553M,2141 S TAN CT FL 2ND,CHICAGO,IL,60616,$800.00 
41140,0,226601,COMPTROLLER-OTHER,6/9/16,DEPARTMENT OF CULTURAL AFFAIRS,FELICIA GRANT PRESTON,50104504,527 E 46TH PLACE,CHICAGO,IL,606534205,$905.00 
34412,0,151103,EXHIBIT-A,1/11/16,DEPARTMENT OF FINANCE,CHICAGO MESSENGER SERVICE,51864541V,1600 S ASHLAND AVENUE EFT,CHICAGO,IL,60608,$937.60 
34386,0,150010,EXHIBIT-A,1/7/16,DEPARTMENT OF PERSONNEL,ROGER J BALLA,31294799A,560 W FULTON ST # 501,CHICAGO,IL,60661,$945.00 
34427,0,151755,EXHIBIT-A,1/11/16,OFFICE OF THE MAYOR,LEXIS-NEXIS,22781870L,PO BOX 2314,CAROL STREAM,IL,60132-2314,$969.00 
42506,0,242174,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,ELLEN CAMPBELL,1045263,"3454 W. SCHUBERT, #3",CHICAGO,IL,60647,$986.00 
34322,0,149671,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,COLUMBIA UNIVERSITY SCHOOL,1056160,OF PUBLIC HEALTH,NEW YORK,NY,10032,"$1,000.00 "
34344,0,149652,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,RICHARD WOLSFLD,57253446,2523 MANITOU ISLAND,WHITE BEAR LAKE,MN,66110,"$1,000.00 "
34335,0,149636,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,AMERICAN EXPRESS GLOBAL BUSINE,57253429,ATTN: RACHE ZIMMERMAN,SCHAUMBURG,IL,60196,"$1,000.00 "
34331,0,149948,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,MCD MEDIA,90426949L,21 W 318 DRURY LN,LOMBARD,IL,60148,"$1,000.00 "
32994,5,129297,CONSTRUCTION-GENERAL,1/6/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$1,000.00 "
33834,8,130839,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/5/17,CHICAGO DEPARTMENT OF TRANSPORTATION,JOHN BURNS CONSTRUCTION CO.,21972025E,17601 SOUTHWEST HIGHWAY EFT,ORLAND PARK,IL,60462-0827,"$1,047.80 "
31917,11,126030,CONSTRUCTION-AVIATION,1/10/17,DEPT OF AVIATION,ASBACH & VANSELOW INC,93516810P,1000 BROWN STREET EFT,WAUCONDA,IL,60084,"$1,068.10 "
34332,0,149942,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,ICON GROUP INC 01,93428400Z,2747 W TAYLOR ST,CHICAGO,IL,60612,"$1,105.00 "
29858,49,119473,CONSTRUCTION-AVIATION,6/6/16,OHARE MODERNIZATION PROJECT,DIVANE BROTHERS. ELECTRIC CO.,22547883T,2424 N 25TH AVE,FRANKLIN PARK,IL,60131-3387,"$1,127.00 "
34324,0,149725,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,PILOT LIGHT,56892391,C/O ALEXANDRA DEBORBO-QUINN,CHICAGO,IL,60641,"$1,200.00 "
42519,0,242233,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,CAROLYN ELAINE. HARVEY,31298104L,4421 S CALUMET AVE # 1A,CHICAGO,IL,60653,"$1,200.00 "
30456,14,122909,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/3/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$1,300.00 "
31815,20,124006,CONSTRUCTION-LARGE $3MILLIONorABOVE,2/1/17,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$1,300.00 "
32645,1,129444,CONSTRUCTION-AVIATION,2/1/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$1,337.60 "
32644,1,129423,CONSTRUCTION-AVIATION,2/1/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$1,356.10 "
28372,6,113554,CONSTRUCTION-AVIATION,8/12/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$1,382.40 "
30222,9,117642,CONSTRUCTION-GENERAL,2/10/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$1,400.00 "
42514,0,242201,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,JENNIFER KARMIN,69615522L,2652 W EVERGREEN AVE # 2R,CHICAGO,IL,60622,"$1,411.00 "
42513,0,242194,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,DIANE CHRISTIANSEN,1064163,2022 W. CRYSTAL,CHICAGO,IL,60622,"$1,469.00 "
35096,0,161206,COMPTROLLER-OTHER,2/3/16,CHICAGO DEPARTMENT OF TRANSPORTATION,METRA E T R A,3632919H,547 W JACKSON BLVD FL 12,CHICAGO,IL,60661,"$1,500.00 "
41136,0,226586,COMPTROLLER-OTHER,6/9/16,DEPARTMENT OF CULTURAL AFFAIRS,LAURIE SHAMAN,1032326,"5415 N. SHERIDAN RD, #3702",CHICAGO,IL,60640,"$1,500.00 "
46436,0,287370,COMPTROLLER-OTHER,9/9/16,DEPARTMENT OF CULTURAL AFFAIRS,KRISTA FRANKLIN,80743298P,2739 W HIRSCH ST # 3,CHICAGO,IL,60622-5621,"$1,500.00 "
31917,3,126030,CONSTRUCTION-AVIATION,1/6/16,DEPT OF AVIATION,ASBACH & VANSELOW INC,93516810P,1000 BROWN STREET EFT,WAUCONDA,IL,60084,"$1,560.70 "
50610,0,332672,"PRO SERV CONSULTING $250,000orABOVE",12/8/16,DEPT OF BUSINESS & INFORMATION SERVICES,DELL MARKETING LP.,31339925L,PO BOX 2153 - P O BOX 4655,CAROL STREAM,IL,60197,"$1,599.60 "
42568,0,243074,COMPTROLLER-OTHER,7/7/16,DEPARTMENT OF CULTURAL AFFAIRS,GEORGETTE V KELLY,53771024,5135 N. Glenwood #4,CHICAGO,IL,60640,"$1,600.00 "
42212,0,162759A,COMMODITIES-SMALL ORDERS,7/8/16,DEPARTMENT OF CULTURAL AFFAIRS,"CHICAGO UNITED INDUSTRIES, LIMITED",22085024V,53 W JACKSON BLVD # 1450,CHICAGO,IL,60604-3806,"$1,612.60 "
44460,0,263325,COMPTROLLER-OTHER,8/5/16,DEPARTMENT OF CULTURAL AFFAIRS,CHAD MCCULLOUGH,56974146,1445 WEST THOME AVENUE,CHICAGO,IL,60660,"$1,650.00 "
31956,40,125921,CONSTRUCTION-LARGE $3MILLIONorABOVE,11/2/16,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC 01,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$1,688.00 "
34325,0,149945,EXHIBIT-A,1/5/16,DEPARTMENT OF CULTURAL AFFAIRS,CHICAGO. HOUSING AUTHORITY *ESCROW/HOLDING ACCT,3606536M,Accounts Payable,CHICAGO,IL,60605,"$1,715.00 "
50561,0,332672,"PRO SERV CONSULTING $250,000orABOVE",12/6/16,DEPT OF BUSINESS & INFORMATION SERVICES,DELL MARKETING LP.,31339925L,PO BOX 2153 - P O BOX 4655,CAROL STREAM,IL,60197,"$1,730.00 "
42510,0,242189,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,AISLINN GAGLIARDI,36331842Z,1607 W BERTEAU AVE # 2,CHICAGO,IL,60631,"$1,771.00 "
44359,0,262207,COMPTROLLER-OTHER,8/4/16,DEPARTMENT OF CULTURAL AFFAIRS,AISLINN GAGLIARDI,36331842Z,1607 W BERTEAU AVE # 2,CHICAGO,IL,60631,"$1,771.00 "
34414,0,151523,EXHIBIT-A,1/11/16,DEPARTMENT OF PERSONNEL,ANGELA R. MURPHY,31295098P,10101 S WOODS,CHICAGO,IL,60643,"$1,800.00 "
32328,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,BROADER.URBAN.INVESTMENT.L.D. INC,93734476Z,5100 W HARRISON ST,CHICAGO,IL,60644,"$1,800.00 "
32333,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,UCAN (ULRICH CHILDRENS ADVANTAGE NETWORK),93262454H,3737 N MOZART ST,CHICAGO,IL,60618,"$1,800.00 "
21773,83,83210,PROPERTY LEASE,10/4/16,,DEPAUL UNIVERSITY,93965499T,ATTN: DIRECTOR OF RESTRICTED ACCOUNTING,CHICAGO,IL,60604,"$1,826.00 "
34390,0,151276,EXHIBIT-A,1/7/16,DEPARTMENT OF PERSONNEL,JOSEPH CHICO,33655365H,"C/O JOSEPH CHICO & ASSOC, PC",CHICAGO,IL,60617,"$1,830.00 "
40871,0,223465,COMPTROLLER-OTHER,6/6/16,DEPT OF COMMUNITY DEVELOPMENT,LITHUANIAN HUMAN SERV COUNCIL OF THE USA INC,22111348T,2711 W 71ST ST,CHICAGO,IL,60629,"$1,893.00 "
34387,0,150512,EXHIBIT-A,1/7/16,DEPARTMENT OF CULTURAL AFFAIRS,ANNA KUNZ,44068852V,2520 S WESTERN AVE,CHICAGO,IL,60608,"$2,000.00 "
34389,0,150436,EXHIBIT-A,1/7/16,DEPARTMENT OF CULTURAL AFFAIRS,CHRISTINE TARKOWSKI,31287064M,2725 S ARCHER AVE,CHICAGO,IL,60608,"$2,000.00 "
34384,0,150536,EXHIBIT-A,1/7/16,DEPARTMENT OF CULTURAL AFFAIRS,CANDIDA ALVAREZ,1058406,155 FOSTER ST. #4,NEW HAVEN,CT,65112666,"$2,000.00 "
34383,0,150550,EXHIBIT-A,1/7/16,DEPARTMENT OF CULTURAL AFFAIRS,SUMMER COLEMAN,57212436,1400 NORTH MAYWOOD DRIVE,MAYWOOD,IL,60153,"$2,000.00 "
34376,0,150528,EXHIBIT-A,1/7/16,DEPARTMENT OF CULTURAL AFFAIRS,JIN S. LEE,31338081H,2503 N WASHTENAW AVE,CHICAGO,IL,60647,"$2,000.00 "
31815,5,124006,CONSTRUCTION-LARGE $3MILLIONorABOVE,1/6/16,CHICAGO DEPARTMENT OF TRANSPORTATION,MQ SEWER & WATER CONTRACTORS,93441467T,C. D/B/A MQ CONSTRUCTION CO,CHICAGO,IL,60634,"$2,000.00 "
36425,0,175099,COMPTROLLER-OTHER,3/10/16,DEPARTMENT OF CULTURAL AFFAIRS,PAOLA CABAL,90977043Z,1413 W SHERWIN AVE # 3E,CHICAGO,IL,60626,"$2,000.00 "
49037,0,322957,COMPTROLLER-OTHER,11/2/16,DEPARTMENT OF CULTURAL AFFAIRS,KUUMBA LYNX,31326109X,4501 N CLARENDON EFT,CHICAGO,IL,60640,"$2,000.00 "
29578,10,116349,CONSTRUCTION-GENERAL,2/8/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$2,000.00 "
34416,0,151528,EXHIBIT-A,1/11/16,DEPARTMENT OF PERSONNEL,LAURA PARRY,31298069V,6319 N MINNEHAHA AVE,CHICAGO,IL,60646,"$2,100.00 "
49050,0,323064,COMPTROLLER-OTHER,11/2/16,DEPARTMENT OF CULTURAL AFFAIRS,ASSOCIATION FOR ADVANCEMENT OF CREATIVE MUSICIANS,1035723,C/O (AACM),CHICAGO,IL,60649,"$2,100.00 "
41143,0,226623,COMPTROLLER-OTHER,6/9/16,DEPARTMENT OF CULTURAL AFFAIRS,NICHOLAS PIERCE,51351064,6624 N ASHLAND AVE #2,CHICAGO,IL,606264116,"$2,113.00 "
34415,0,151517,EXHIBIT-A,1/11/16,DEPARTMENT OF PERSONNEL,DENNIS M. FLEMING,31295839V,5330 W DEVON AVE STE 15,CHICAGO,IL,60646,"$2,175.00 "
34375,0,150721,EXHIBIT-A,1/7/16,OFFICE OF THE MAYOR,AMERICAN EXPRESS TRAVEL RELATE,14862714M,TRAVEL RELATED SRVC,FORT LAUDERDALE,FL,33336-0001,"$2,207.20 "
50609,0,332672,"PRO SERV CONSULTING $250,000orABOVE",12/8/16,DEPT OF BUSINESS & INFORMATION SERVICES,DELL MARKETING LP.,31339925L,PO BOX 2153 - P O BOX 4655,CAROL STREAM,IL,60197,"$2,248.90 "
54865,0,329946,EXHIBIT-B,3/8/17,DEPT OF GENERAL SERVICES,ACR INC,10191481,551 GLENN AVENUE,WHEELING,IL,60090,"$2,271.10 "
34327,0,150352,EXHIBIT-A,1/5/16,OFFICE OF THE MAYOR,AT&T CORP,87451913H,PO BOX 5000,CAROL STREAM,IL,60197-5000,"$2,301.90 "
42509,0,242186,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,COLE ROBERTSON,50886021,535 W CORNELIA AVE #1208,CHICAGO,IL,60657,"$2,345.00 "
43968,0,259475,COMPTROLLER-OTHER,8/1/16,DEPARTMENT OF CULTURAL AFFAIRS,COLE ROBERTSON,50886021,535 W CORNELIA AVE #1208,CHICAGO,IL,60657,"$2,345.00 "
41135,0,226581,COMPTROLLER-OTHER,6/9/16,DEPARTMENT OF CULTURAL AFFAIRS,DARLYS EWOLDT,74350267H,6257 N SHERIDAN RD # 46,CHICAGO,IL,60660,"$2,400.00 "
32288,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,"CENTRAL STATES SER, JOBS FOR PROGRESS, INC.",95146946X,3948 W 26TH ST,CHICAGO,IL,60623,"$2,400.00 "
32314,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,LAWRENCE HALL,6993090V,4833 N FRANCISCO AVE,CHICAGO,IL,60625,"$2,400.00 "
49045,0,323017,COMPTROLLER-OTHER,11/2/16,DEPARTMENT OF CULTURAL AFFAIRS,ZEPHYR DANCE ENSEMBLE,31331373M,1627 N OAKLEY AVE,CHICAGO,IL,60647,"$2,400.00 "
42508,0,242182,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,CARL KAUFFMAN,31300500X,6439 N NEWGARD AVE # 3A,CHICAGO,IL,60626,"$2,500.00 "
42511,0,242190,COMPTROLLER-OTHER,7/6/16,DEPARTMENT OF CULTURAL AFFAIRS,GINNY SYKES,33675944M,4520 N DOVER ST,CHICAGO,IL,60640,"$2,500.00 "
43964,0,259466,COMPTROLLER-OTHER,8/1/16,DEPARTMENT OF CULTURAL AFFAIRS,GINNY SYKES,33675944M,4520 N DOVER ST,CHICAGO,IL,60640,"$2,500.00 "
43972,0,259504,COMPTROLLER-OTHER,8/1/16,DEPARTMENT OF CULTURAL AFFAIRS,CARL KAUFFMAN,31300500X,6439 N NEWGARD AVE # 3A,CHICAGO,IL,60626,"$2,500.00 "
44246,0,261003,COMPTROLLER-OTHER,8/3/16,DEPARTMENT OF CULTURAL AFFAIRS,JULIE VANCE,10191879,1952 WEST EVERGREEN,CHICAGO,IL,60622,"$2,500.00 "
29642,32,109327,CONSTRUCTION-LARGE $3MILLIONorABOVE,5/11/16,CHICAGO DEPARTMENT OF TRANSPORTATION,ACURA INC,93225537L,556 COUNTY LINE ROAD EFT,BENSENVILLE,IL,60106,"$2,568.40 "
48916,0,321718,COMPTROLLER-OTHER,11/1/16,DEPARTMENT OF CULTURAL AFFAIRS,CHANGING WORLDS,91371340Z,329 W 18TH STREET EFT ST,CHICAGO,IL,60616,"$2,569.00 "
32655,11,129735,CONSTRUCTION-LARGE $3MILLIONorABOVE,12/9/16,DEPARTMENT OF WATER MANAGEMENT,BENCHMARK CONSTRUCTION CO. INC,22360848V,3349 S KEDZIE AVENUE EFT,CHICAGO,IL,60623,"$2,700.00 "
30564,7,123523,CONSTRUCTION-AVIATION,8/12/16,DEPT OF AVIATION,"BLINDERMAN CONSTRUCTION COMPANY, INC.",38785860Z,8501 W HIGGINS RD STE 320,CHICAGO,IL,60631,"$2,762.90 "
42872,4,128580A,CONSTRUCTION-AVIATION,1/4/17,DEPT OF AVIATION,"CCC HOLDINGS, INC",10191433,DBA CHICAGO COMMERICAL CONSTRUCTION,CHICAGO,IL,60617,"$2,800.00 "
42872,5,128580A,CONSTRUCTION-AVIATION,1/5/17,DEPT OF AVIATION,"CCC HOLDINGS, INC",10191433,DBA CHICAGO COMMERICAL CONSTRUCTION,CHICAGO,IL,60617,"$2,800.00 "
54868,0,368500,EXHIBIT-B,3/8/17,DEPT OF GENERAL SERVICES,E & R TOWING & GARAGE INC.,33651949T,16325 S CRAWFORD AVE,MARKHAM,IL,,"$2,875.00 "
32495,4,128437,CONSTRUCTION-GENERAL,1/11/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$2,900.00 "
32324,1,131733,DELEGATE AGENCY,4/1/16,DEPT OF FAMILY AND SUPPORT SERVICES,"A KNOCK AT MIDNIGHT, NFP",28976533T,400 W 76TH STREET EFT ST,CHICAGO,IL,60620,"$3,000.00 "
49047,0,323033,COMPTROLLER-OTHER,11/2/16,DEPARTMENT OF CULTURAL AFFAIRS,CHICAGO TAP THEATRE,50711024,1624 W WINONA ST #2,CHICAGO,IL,606402708,"$3,000.00 "
31291,2,129403,DELEGATE AGENCY,10/11/16,DEPT OF FAMILY AND SUPPORT SERVICES,CASA CENTRAL SOCIAL SERVICES CORPORATION,12727336M,1343 N CALIFORNIA AVE,CHICAGO,IL,60622,"$3,000.00 "
33924,5,125889,CONSTRUCTION-LARGE $3MILLIONorABOVE,4/5/17,CHICAGO DEPARTMENT OF TRANSPORTATION,"SUMIT CONSTRUCTION CO., INC.",21973746A,4150 W WRIGHTWOOD AVE FL 1ST,CHICAGO,IL,60639,"$3,150.00 "
34373,0,150878,EXHIBIT-A,1/7/16,DEPT OF AVIATION,GREAT LAKES CHAPTER -AAAE,93215917V,PO BOX 541209,LAKE WORTH,FL,33454,"$3,160.00 "
